sale_def,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool
88142,4,2,1270,3631,5211.83,638.57,0
78046,2,2,1037,1307,14706.67,198.9,0
273777,4,2,2821,10309,20897.89,3799.2,0
229185,4,3,2341,9578,7057.41,193.39,0
464029,4,3,2981,12287,7771.7,225.97,1
109152,3,2,1307,10088,18662.69,496.94,1
190090,1,1,960,269496,24917.13,96.46,0
259402,3,2,2010,17270,12412.03,85.75,0
139069,3,2.5,1873,9858,14387.11,248.78,0
204245,4,2,1701,5658,23239.38,302.82,0
151295,3,2,1704,5761,21174.92,531.72,0
141928,3,2,1546,11461,10709.95,3743.18,0
172900,3,2,1397,8758,4560.8,184.73,1
127167,3,2,1166,12053,8025.37,350.87,1
69042,3,1,1267,8083,25353.75,582.84,0
171259,4,2,1684,6601,21427.69,448.46,1
105186,3,1.5,1125,9380,17489.35,918.19,0
341505,4,3,2507,23075,12334.3,311.03,1
187078,4,2.5,2577,5500,19605.06,1552.88,1
77229,3,2,1319,16026,7166.4,1026.98,0
183392,3,2,2280,8621,14477.86,398.83,0
223719,4,2,2227,12174,16208.64,873.78,0
247035,5,3,2897,5873,21271.62,1760.57,1
192540,5,3,2716,6751,21112.58,7705.76,0
226548,4,4,2835,9013,14745.48,117.39,0
297864,5,3,2762,15869,19948.18,509.26,0
67246,3,1,1200,12003,20568.46,337.47,0
50102,2,1,1014,13500,4893.37,388.26,0
163111,4,3,2141,11051,12486.21,301.68,0
78536,3,2,1158,6116,10764.64,669.44,0
121121,3,2,1515,8247,12105.71,210.4,0
151085,3,2,1542,11899,9720.22,121.25,0
155468,3,2,1607,5609,21463.57,6829.82,1
100171,3,2,1170,5752,6878.42,1270.06,0
236500,4,2,2198,11552,13960.34,5026.41,0
122797,3,2,1898,8569,20222.18,798.86,0
7629992,6,8,10796,86488,17902.64,57.12,1
267918,4,3,2561,11156,14842.87,284.1,1
315565,4,3,3495,10910,7350.61,927.33,1
129057,2,2.5,1240,3000,2880.63,571.27,0
290317,4,4.5,3486,15151,11998.25,4804.38,0
94548,3,2,1374,14185,9484.02,364.72,0
73970,2,2.5,1096,1800,15526.23,3449.3,0
80947,2,1.5,1480,7526,6864.86,284.67,0
202971,3,2.5,1850,2553,15380.52,734.45,0
150631,4,2,1859,16215,7152.1,321.74,1
499689,3,3,4110,16024,18027.51,367.7,1
113956,4,2,1600,12235,9837.77,1595.07,0
234289,3,2,1959,6597,9437.17,297.04,0
154018,3,2,1842,6062,21314.09,412.94,0
84195,3,1.5,1139,8319,9558.2,221.42,0
91847,3,2.5,1452,6757,11752.38,1737.41,0
99443,3,2,1265,5610,15269.21,731.24,0
312352,3,2,2693,40609,16546.77,851.51,1
413409,4,3.5,3347,12376,3739.73,358.91,1
131359,4,2,1334,7500,13109.93,4787.58,0
128461,3,2,1443,5539,14823.12,2249.63,0
264735,4,3,2765,10817,20623.27,7796.1,0
325510,4,2.5,3059,20250,4228.69,324.42,1
238516,3,2,2084,56730,13646.35,203.77,0
141681,3,2,1470,5290,14734.23,5109.97,0
224988,4,3,2582,7565,16356.93,858.1,0
